relationship_type,category,description,rank,suggested_wikidata_property,suggested_wikidata_label,suggested_wikidata_description,suggested_wikidata_type,score,confidence,query_used,method,review_status
BETRAYED_BY,Military,Entity was betrayed,1,P5824,retracted by,(article) is retracted by (retraction notice),http://wikiba.se/ontology#WikibaseItem,0.587,low,betrayed by,local_catalog_similarity,pending_review
BETRAYED_BY,Military,Entity was betrayed,2,P10449,trained by,"person who trained the subject, a human or an animal",http://wikiba.se/ontology#WikibaseItem,0.562,low,betrayed by,local_catalog_similarity,pending_review
BETRAYED_BY,Military,Entity was betrayed,3,P647,drafted by,which team the player was drafted by,http://wikiba.se/ontology#WikibaseItem,0.525,low,betrayed by,local_catalog_similarity,pending_review
COMMANDED_BY,Military,Was commanded by,1,P4791,commanded by,"commander of a military unit/army/security service, operation, etc.",http://wikiba.se/ontology#WikibaseItem,0.756,medium,commanded by,local_catalog_similarity,pending_review
COMMANDED_BY,Military,Was commanded by,2,P6938,seconded by,a person who seconds a motion as parliamentary procedure,http://wikiba.se/ontology#WikibaseItem,0.589,low,commanded by,local_catalog_similarity,pending_review
COMMANDED_BY,Military,Was commanded by,3,P2567,amended by,document is amended by specified other document,http://wikiba.se/ontology#WikibaseItem,0.570,low,commanded by,local_catalog_similarity,pending_review
DEFEATED,Military,Defeated opponent in battle/campaign,1,P4220,order of battle,arrangement of units and hierarchical organization of the armed forces involved in the specified military action,http://wikiba.se/ontology#WikibaseItem,0.382,low,Defeated opponent in battle/campaign,local_catalog_similarity,pending_review
DEFEATED,Military,Defeated opponent in battle/campaign,2,P2379,deprecated in version,software version it was deprecated in,http://wikiba.se/ontology#WikibaseItem,0.381,low,Defeated opponent in battle/campaign,local_catalog_similarity,pending_review
DEFEATED,Military,Defeated opponent in battle/campaign,3,P2715,elected in,"election in which a person gained a position (as qualifier), or a position or legislative term is/was elected (as main value)",http://wikiba.se/ontology#WikibaseItem,0.366,low,Defeated opponent in battle/campaign,local_catalog_similarity,pending_review
DEFEATED_BY,Military,Was defeated by opponent,1,P647,drafted by,which team the player was drafted by,http://wikiba.se/ontology#WikibaseItem,0.604,low,defeated by,local_catalog_similarity,pending_review
DEFEATED_BY,Military,Was defeated by opponent,2,P1028,donated by,person or organization who donated the object,http://wikiba.se/ontology#WikibaseItem,0.581,low,defeated by,local_catalog_similarity,pending_review
DEFEATED_BY,Military,Was defeated by opponent,3,P5202,adapted by,person responsible for the arrangement or adaptation resulting in this version of the original work,http://wikiba.se/ontology#WikibaseItem,0.565,low,defeated by,local_catalog_similarity,pending_review
DEFECTED_FROM,Military,Defected from,1,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.515,low,defected from,local_catalog_similarity,pending_review
DEFECTED_FROM,Military,Defected from,2,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.513,low,defected from,local_catalog_similarity,pending_review
DEFECTED_FROM,Military,Defected from,3,P1889,different from,"item that is different from another item, with which it may be confused",http://wikiba.se/ontology#WikibaseItem,0.510,low,defected from,local_catalog_similarity,pending_review
DEFECTED_TO,Military,Defected to join,1,P825,dedicated to,person or organization to whom the subject was dedicated,http://wikiba.se/ontology#WikibaseItem,0.592,low,defected to,local_catalog_similarity,pending_review
DEFECTED_TO,Military,Defected to join,2,P13269,directs readers to,document or class of documents to which this item or class directs readers,http://wikiba.se/ontology#WikibaseItem,0.482,low,defected to,local_catalog_similarity,pending_review
DEFECTED_TO,Military,Defected to join,3,P816,decays to,what isotope does this radioactive isotope decay to,http://wikiba.se/ontology#WikibaseItem,0.477,low,defected to,local_catalog_similarity,pending_review
GARRISONED,Military,Left military garrison in place,1,P3610,fare zone,fare zone that the station is in,http://wikiba.se/ontology#WikibaseItem,0.362,low,Left military garrison in place,local_catalog_similarity,pending_review
GARRISONED,Military,Left military garrison in place,2,P3415,start period,initial period in which the statement is valid (including the period-value),http://wikiba.se/ontology#WikibaseItem,0.360,low,Left military garrison in place,local_catalog_similarity,pending_review
GARRISONED,Military,Left military garrison in place,3,P4572,SS KL Auschwitz Garrison ID,"identifier for a person, in the Auschwitz camp personnel database",http://wikiba.se/ontology#ExternalId,0.342,low,Left military garrison in place,local_catalog_similarity,pending_review
GARRISONED_BY,Military,Place was garrisoned by military force,1,P10449,trained by,"person who trained the subject, a human or an animal",http://wikiba.se/ontology#WikibaseItem,0.528,low,garrisoned by,local_catalog_similarity,pending_review
GARRISONED_BY,Military,Place was garrisoned by military force,2,P127,owned by,owner of the subject,http://wikiba.se/ontology#WikibaseItem,0.526,low,garrisoned by,local_catalog_similarity,pending_review
GARRISONED_BY,Military,Place was garrisoned by military force,3,P872,printed by,"organization or person who printed the creative work (if different from ""publisher"")",http://wikiba.se/ontology#WikibaseItem,0.525,low,garrisoned by,local_catalog_similarity,pending_review
LEVELLED,Military,Completely destroyed/razed to ground,1,P13047,leased to,person or organisation that holds or was granted a lease on the subject,http://wikiba.se/ontology#WikibaseItem,0.335,low,Completely destroyed/razed to ground,local_catalog_similarity,pending_review
LEVELLED,Military,Completely destroyed/razed to ground,2,P3082,destroyed,physical items destroyed by this event,http://wikiba.se/ontology#WikibaseItem,0.306,low,Completely destroyed/razed to ground,local_catalog_similarity,pending_review
LEVELLED,Military,Completely destroyed/razed to ground,3,P2650,interested in,item of special or vested interest to this person or organisation,http://wikiba.se/ontology#WikibaseItem,0.304,low,Completely destroyed/razed to ground,local_catalog_similarity,pending_review
LEVELLED_BY,Military,Place was completely destroyed/razed,1,P2568,repealed by,document is repealed/inactived by specified other document,http://wikiba.se/ontology#WikibaseItem,0.548,low,levelled by,local_catalog_similarity,pending_review
LEVELLED_BY,Military,Place was completely destroyed/razed,2,P4032,reviewed by,"person who reviewed/refereed the work, e.g., scientific peer-reviewer",http://wikiba.se/ontology#WikibaseItem,0.538,low,levelled by,local_catalog_similarity,pending_review
LEVELLED_BY,Military,Place was completely destroyed/razed,3,P1656,unveiled by,"person who unveils a statue, sculpture, memorial or plaque, etc.",http://wikiba.se/ontology#WikibaseItem,0.538,low,levelled by,local_catalog_similarity,pending_review
MASSACRED,Military,Massacred group of people,1,P176,manufacturer,(main or final) manufacturer or producer of this product,http://wikiba.se/ontology#WikibaseItem,0.387,low,Massacred group of people,local_catalog_similarity,pending_review
MASSACRED,Military,Massacred group of people,2,P11603,transcribed by,person who has made a copy of a manuscript text,http://wikiba.se/ontology#WikibaseItem,0.359,low,Massacred group of people,local_catalog_similarity,pending_review
MASSACRED,Military,Massacred group of people,3,P690,space group,symmetry classification for 2 and 3 dimensional patterns or crystals,http://wikiba.se/ontology#WikibaseItem,0.359,low,Massacred group of people,local_catalog_similarity,pending_review
MASSACRED_BY,Military,Was massacred by,1,P11603,transcribed by,person who has made a copy of a manuscript text,http://wikiba.se/ontology#WikibaseItem,0.528,low,massacred by,local_catalog_similarity,pending_review
MASSACRED_BY,Military,Was massacred by,2,P2378,issued by,"organisation or other agent that issues or allocates an identifier, code, classification number, etc.",http://wikiba.se/ontology#WikibaseItem,0.505,low,massacred by,local_catalog_similarity,pending_review
MASSACRED_BY,Military,Was massacred by,3,P5514,accredited by,"optionally use together with ""subject has role"" (P2868)",http://wikiba.se/ontology#WikibaseItem,0.497,low,massacred by,local_catalog_similarity,pending_review
MILITARY_ACTION,Military,Generic military action,1,P798,military designation,officially assigned designation for a vehicle in military service,http://wikiba.se/ontology#String,0.554,low,military action,local_catalog_similarity,pending_review
MILITARY_ACTION,Military,Generic military action,2,P241,military branch,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy",http://wikiba.se/ontology#WikibaseItem,0.548,low,military action,local_catalog_similarity,pending_review
MILITARY_ACTION,Military,Generic military action,3,P7779,military unit,smallest military unit that a person is/was in,http://wikiba.se/ontology#WikibaseItem,0.548,low,military action,local_catalog_similarity,pending_review
SACKED,Military,Pillaged or sacked place,1,P2443,stage reached,ultimate point in an event or competition reached by a participant,http://wikiba.se/ontology#WikibaseItem,0.392,low,Pillaged or sacked place,local_catalog_similarity,pending_review
SACKED,Military,Pillaged or sacked place,2,P823,speaker,"person who is speaker for this event, ceremony, keynote, presentation or in a literary work",http://wikiba.se/ontology#WikibaseItem,0.369,low,Pillaged or sacked place,local_catalog_similarity,pending_review
SACKED,Military,Pillaged or sacked place,3,P7137,acknowledged,persons or institutions acknowledged on a creative work,http://wikiba.se/ontology#WikibaseItem,0.341,low,Pillaged or sacked place,local_catalog_similarity,pending_review
SACKED_BY,Military,Place was sacked by,1,P1535,used by,item or concept that makes use of the subject (use sub-properties when appropriate),http://wikiba.se/ontology#WikibaseItem,0.558,low,sacked by,local_catalog_similarity,pending_review
SACKED_BY,Military,Place was sacked by,2,P6938,seconded by,a person who seconds a motion as parliamentary procedure,http://wikiba.se/ontology#WikibaseItem,0.535,low,sacked by,local_catalog_similarity,pending_review
SACKED_BY,Military,Place was sacked by,3,P5824,retracted by,(article) is retracted by (retraction notice),http://wikiba.se/ontology#WikibaseItem,0.529,low,sacked by,local_catalog_similarity,pending_review
SALLIED_FROM,Military,Made military sortie/sally from besieged place,1,P4934,calculated from,value of the subject item cannot be measured directly or can be calculated from the following measurands or attributes,http://wikiba.se/ontology#WikibaseItem,0.550,low,sallied from,local_catalog_similarity,pending_review
SALLIED_FROM,Military,Made military sortie/sally from besieged place,2,P807,separated from,subject was founded or started by separating from identified object,http://wikiba.se/ontology#WikibaseItem,0.525,low,sallied from,local_catalog_similarity,pending_review
SALLIED_FROM,Military,Made military sortie/sally from besieged place,3,P10754,distributed from,place or location where a good or service is distributed from,http://wikiba.se/ontology#WikibaseItem,0.506,low,sallied from,local_catalog_similarity,pending_review
SERVED_UNDER,Military,Served under commander,1,P12457,invariant under,subject is unchanged by this process / function / group of transformation / equivalence relation,http://wikiba.se/ontology#WikibaseItem,0.410,low,served under,local_catalog_similarity,pending_review
SERVED_UNDER,Military,Served under commander,2,P567,underlies,stratigraphic unit that this unit lies under (i.e. the overlying unit),http://wikiba.se/ontology#WikibaseItem,0.388,low,served under,local_catalog_similarity,pending_review
SERVED_UNDER,Military,Served under commander,3,P4103,assets under management,total market value of financial assets which a financial institution manages on behalf of its clients and itself,http://wikiba.se/ontology#Quantity,0.345,low,Served under commander,local_catalog_similarity,pending_review
COMMITTED_SUICIDE,Moral,Person committed suicide,1,P88,commissioned by,person or organization that commissioned this work,http://wikiba.se/ontology#WikibaseItem,0.368,low,Person committed suicide,local_catalog_similarity,pending_review
COMMITTED_SUICIDE,Moral,Person committed suicide,2,P4353,nominated by,who nominated a person for an office or award; can be used as a qualifier,http://wikiba.se/ontology#WikibaseItem,0.363,low,Person committed suicide,local_catalog_similarity,pending_review
COMMITTED_SUICIDE,Moral,Person committed suicide,3,P4321,best combative classification,"person ranked as ""best combative"" for this cycling stage or race",http://wikiba.se/ontology#WikibaseItem,0.357,low,Person committed suicide,local_catalog_similarity,pending_review
RESPONSIBILITY_OF,Moral,Atrocity/policy had person/regime responsible,1,P461,opposite of,item that is in some way the opposite of this item,http://wikiba.se/ontology#WikibaseItem,0.440,low,responsibility of,local_catalog_similarity,pending_review
RESPONSIBILITY_OF,Moral,Atrocity/policy had person/regime responsible,2,P8646,expansion of,"expansion pack of a game (video game, tabletop or board game)",http://wikiba.se/ontology#WikibaseItem,0.429,low,responsibility of,local_catalog_similarity,pending_review
RESPONSIBILITY_OF,Moral,Atrocity/policy had person/regime responsible,3,P2058,depositary,depositary of the treaty,http://wikiba.se/ontology#WikibaseItem,0.427,low,responsibility of,local_catalog_similarity,pending_review
RESPONSIBLE_FOR,Moral,Person or regime held responsible for atrocity/policy,1,P1779,possible creator,for a creative work with considerable uncertainty about the author,http://wikiba.se/ontology#WikibaseItem,0.493,low,responsible for,local_catalog_similarity,pending_review
RESPONSIBLE_FOR,Moral,Person or regime held responsible for atrocity/policy,2,P9970,predicate for,action that is described by this verb/predicate,http://wikiba.se/ontology#WikibaseItem,0.451,low,responsible for,local_catalog_similarity,pending_review
RESPONSIBLE_FOR,Moral,Person or regime held responsible for atrocity/policy,3,P1358,points for,number of points in a league table or decathlon. (Use P1351 for goals/points in a match),http://wikiba.se/ontology#Quantity,0.444,low,responsible for,local_catalog_similarity,pending_review
ADVISED,Political,Institution advised another,1,P8791,digitised by,"institution or person who digitised an exemplar of this item. Qualify with ""criterion used"" (P1013) to indicate which step was done.",http://wikiba.se/ontology#WikibaseItem,0.369,low,Institution advised another,local_catalog_similarity,pending_review
ADVISED,Political,Institution advised another,2,P11463,travel advisory category,advisory category issued by a government regarding travel to another country or territory,http://wikiba.se/ontology#WikibaseItem,0.313,low,Institution advised another,local_catalog_similarity,pending_review
ADVISED,Political,Institution advised another,3,P6392,AISHE code,"identifier for a college, university, or standalone institution in India issued by the All India Survey on Higher Education",http://wikiba.se/ontology#ExternalId,0.310,low,Institution advised another,local_catalog_similarity,pending_review
ALLIED_VIA_MARRIAGE,Political,Political alliance via marriage,1,P2842,place of marriage,"location where the marriage was celebrated. Use as qualifier for property ""spouse"" (P26)",http://wikiba.se/ontology#WikibaseItem,0.503,low,allied via marriage,local_catalog_similarity,pending_review
ALLIED_VIA_MARRIAGE,Political,Political alliance via marriage,2,P2562,married name,full name adopted by a person upon marriage,http://wikiba.se/ontology#Monolingualtext,0.324,low,allied via marriage,local_catalog_similarity,pending_review
ALLIED_VIA_MARRIAGE,Political,Political alliance via marriage,3,P1387,political alignment,political position within the left–right political spectrum,http://wikiba.se/ontology#WikibaseItem,0.319,low,Political alliance via marriage,local_catalog_similarity,pending_review
ALLIED_WITH,Political,Maintained formal/strategic alliance,1,P5009,complies with,the product or work complies with a certain norm or passes a test,http://wikiba.se/ontology#WikibaseItem,0.500,low,allied with,local_catalog_similarity,pending_review
ALLIED_WITH,Political,Maintained formal/strategic alliance,2,P4082,captured with,"equipment (e.g. model of camera, lens, microphone), used to capture this image, video, audio, or data",http://wikiba.se/ontology#WikibaseItem,0.493,low,allied with,local_catalog_similarity,pending_review
ALLIED_WITH,Political,Maintained formal/strategic alliance,3,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.483,low,allied with,local_catalog_similarity,pending_review
COMPETED_WITH,Political,Political rivalry,1,P5009,complies with,the product or work complies with a certain norm or passes a test,http://wikiba.se/ontology#WikibaseItem,0.567,low,competed with,local_catalog_similarity,pending_review
COMPETED_WITH,Political,Political rivalry,2,P4082,captured with,"equipment (e.g. model of camera, lens, microphone), used to capture this image, video, audio, or data",http://wikiba.se/ontology#WikibaseItem,0.560,low,competed with,local_catalog_similarity,pending_review
COMPETED_WITH,Political,Political rivalry,3,P11633,colocated with,"event sharing location, facility or organization with another, typically larger event",http://wikiba.se/ontology#WikibaseItem,0.548,low,competed with,local_catalog_similarity,pending_review
CONQUERED,Political,Entity conquered territory/polity,1,P11279,counts number of,this entity represents the number or quantity of this item,http://wikiba.se/ontology#WikibaseItem,0.345,low,Entity conquered territory/polity,local_catalog_similarity,pending_review
CONQUERED,Political,Entity conquered territory/polity,2,P737,influenced by,"the subject (person, idea, etc.) was influenced or inspired by this object entity, e.g. ""Heidegger was influenced by Aristotle""",http://wikiba.se/ontology#WikibaseItem,0.315,low,Entity conquered territory/polity,local_catalog_similarity,pending_review
CONQUERED,Political,Entity conquered territory/polity,3,P3452,inferred from,"statement added based on related statement found within the item, not the entity described by the item (to be used in a reference field)",http://wikiba.se/ontology#WikibaseItem,0.314,low,Entity conquered territory/polity,local_catalog_similarity,pending_review
CONQUERED_BY,Political,Territory was conquered by entity,1,P1027,conferred by,"person or organization who grants an award, certification, grant, or role",http://wikiba.se/ontology#WikibaseItem,0.616,low,conquered by,local_catalog_similarity,pending_review
CONQUERED_BY,Political,Territory was conquered by entity,2,P8004,ordered by,subject that ordered the act,http://wikiba.se/ontology#WikibaseItem,0.566,low,conquered by,local_catalog_similarity,pending_review
CONQUERED_BY,Political,Territory was conquered by entity,3,P3093,recovered by,"person, organisation or vehicle that recovered the item. Use the most specific value known.",http://wikiba.se/ontology#WikibaseItem,0.559,low,conquered by,local_catalog_similarity,pending_review
DECLARED_FOR,Political,Publicly declared support for,1,P12363,clerked for,this person has held a clerkship with the judge,http://wikiba.se/ontology#WikibaseItem,0.586,low,declared for,local_catalog_similarity,pending_review
DECLARED_FOR,Political,Publicly declared support for,2,P9883,created for,"a work, event, etc. for which the subject work was created (e.g., a presidential inauguration that a poem was written for; a competition that a play was created for; a film that a screenplay was written for)",http://wikiba.se/ontology#WikibaseItem,0.518,low,declared for,local_catalog_similarity,pending_review
DECLARED_FOR,Political,Publicly declared support for,3,P8225,is metaclass for,all instances of the subject are subclasses of the object,http://wikiba.se/ontology#WikibaseItem,0.449,low,declared for,local_catalog_similarity,pending_review
DECLARED_FOR_BY,Political,Received declaration of support from,1,P12363,clerked for,this person has held a clerkship with the judge,http://wikiba.se/ontology#WikibaseItem,0.538,low,declared for,local_catalog_similarity,pending_review
DECLARED_FOR_BY,Political,Received declaration of support from,2,P8004,ordered by,subject that ordered the act,http://wikiba.se/ontology#WikibaseItem,0.491,low,declared for by,local_catalog_similarity,pending_review
DECLARED_FOR_BY,Political,Received declaration of support from,3,P9883,created for,"a work, event, etc. for which the subject work was created (e.g., a presidential inauguration that a poem was written for; a competition that a play was created for; a film that a screenplay was written for)",http://wikiba.se/ontology#WikibaseItem,0.479,low,declared for,local_catalog_similarity,pending_review
DEPOSED,Political,Removed from power,1,P756,removed feature,which feature was removed by this version of a product item,http://wikiba.se/ontology#WikibaseItem,0.374,low,Removed from power,local_catalog_similarity,pending_review
DEPOSED,Political,Removed from power,2,P3094,develops from,this class of items develops from another class of items (biology),http://wikiba.se/ontology#WikibaseItem,0.354,low,Removed from power,local_catalog_similarity,pending_review
DEPOSED,Political,Removed from power,3,P12571,derived from base unit,the base unit(s) that this derived unit is derived from,http://wikiba.se/ontology#WikibaseItem,0.339,low,Removed from power,local_catalog_similarity,pending_review
DESIGNATED_HEIR_OF,Political,Person was designated as heir,1,P3461,designated as terrorist by,"country or organization that has officially designated a given group as a terrorist organization (e.g. for India, listed on http://mha.nic.in/BO )",http://wikiba.se/ontology#WikibaseItem,0.482,low,designated heir of,local_catalog_similarity,pending_review
DESIGNATED_HEIR_OF,Political,Person was designated as heir,2,P4770,hydrated form of,given compound is an anhydrous form of this compound,http://wikiba.se/ontology#WikibaseItem,0.451,low,designated heir of,local_catalog_similarity,pending_review
DESIGNATED_HEIR_OF,Political,Person was designated as heir,3,P3349,designed to carry,what the vehicle or class of vehicles is or was designed to carry,http://wikiba.se/ontology#WikibaseItem,0.445,low,designated heir of,local_catalog_similarity,pending_review
GAINED_SOVEREIGNTY_OVER,Political,Gained political sovereignty over entity,1,P7903,gained territory from,(qualifier) territorial entity from which the subject item gained territory as a result of the event in the statement,http://wikiba.se/ontology#WikibaseItem,0.489,low,gained sovereignty over,local_catalog_similarity,pending_review
GAINED_SOVEREIGNTY_OVER,Political,Gained political sovereignty over entity,2,P3975,general secretary,"leader of a political or international organization, sometimes below the chairperson (P488)",http://wikiba.se/ontology#WikibaseItem,0.364,low,Gained political sovereignty over entity,local_catalog_similarity,pending_review
GAINED_SOVEREIGNTY_OVER,Political,Gained political sovereignty over entity,3,P10888,contains the statistical territorial entity,(list of) statistical territorial entities which are direct subdivisions of another statistical or administrative territorial entity,http://wikiba.se/ontology#WikibaseItem,0.354,low,Gained political sovereignty over entity,local_catalog_similarity,pending_review
GOVERNED,Political,Person governed a place,1,P3093,recovered by,"person, organisation or vehicle that recovered the item. Use the most specific value known.",http://wikiba.se/ontology#WikibaseItem,0.413,low,Person governed a place,local_catalog_similarity,pending_review
GOVERNED,Political,Person governed a place,2,P7643,covered period,"historical period covered, for instance by a source",http://wikiba.se/ontology#WikibaseItem,0.403,low,Person governed a place,local_catalog_similarity,pending_review
GOVERNED,Political,Person governed a place,3,P5617,Evene ID,identifier for a person on the Evene website,http://wikiba.se/ontology#ExternalId,0.374,low,Person governed a place,local_catalog_similarity,pending_review
HAS_TRIBUTARY,Political,Empire had tributary polity,1,P974,tributary,watercourse that flows into an other one (for lake inflows use P200),http://wikiba.se/ontology#WikibaseItem,0.651,low,tributary,local_catalog_similarity,pending_review
HAS_TRIBUTARY,Political,Empire had tributary polity,2,P4777,has boundary,element that's on the two dimensional border that surrounds the subject; the limit of an entity,http://wikiba.se/ontology#WikibaseItem,0.530,low,has tributary,local_catalog_similarity,pending_review
HAS_TRIBUTARY,Political,Empire had tributary polity,3,P1479,has contributing factor,"thing that significantly influenced, but did not directly cause, this outcome or effect. Used in conjunction with 'has cause' and 'has immediate cause'. See '[[Help:Modeling causes]]'.",http://wikiba.se/ontology#WikibaseItem,0.491,low,has tributary,local_catalog_similarity,pending_review
HEIR_TO,Political,Person's heir was designated,1,P10645,reports to,the subject position reports to this position,http://wikiba.se/ontology#WikibaseItem,0.461,low,heir to,local_catalog_similarity,pending_review
HEIR_TO,Political,Person's heir was designated,2,P98,editor,"person who checks and corrects a work (such as a book, newspaper, academic journal, etc.) to comply with a rules of certain genre. Also applies to person who establishes the text of an ancient written work or manuscript.",http://wikiba.se/ontology#WikibaseItem,0.460,low,heir to,local_catalog_similarity,pending_review
HEIR_TO,Political,Person's heir was designated,3,P183,endemic to,sole location or habitat type where the taxon lives,http://wikiba.se/ontology#WikibaseItem,0.449,low,heir to,local_catalog_similarity,pending_review
LOST_SOVEREIGNTY,Political,Lost political independence/sovereignty,1,P1428,Lost Art ID,identifier on the German Lost Art Foundation website,http://wikiba.se/ontology#ExternalId,0.370,low,lost sovereignty,local_catalog_similarity,pending_review
LOST_SOVEREIGNTY,Political,Lost political independence/sovereignty,2,P1387,political alignment,political position within the left–right political spectrum,http://wikiba.se/ontology#WikibaseItem,0.344,low,Lost political independence/sovereignty,local_catalog_similarity,pending_review
LOST_SOVEREIGNTY,Political,Lost political independence/sovereignty,3,P3975,general secretary,"leader of a political or international organization, sometimes below the chairperson (P488)",http://wikiba.se/ontology#WikibaseItem,0.333,low,Lost political independence/sovereignty,local_catalog_similarity,pending_review
MANIPULATED,Political,Manipulated entity/person,1,P726,candidate,person or party that is an option for an office in this election,http://wikiba.se/ontology#WikibaseItem,0.388,low,Manipulated entity/person,local_catalog_similarity,pending_review
MANIPULATED,Political,Manipulated entity/person,2,P4353,nominated by,who nominated a person for an office or award; can be used as a qualifier,http://wikiba.se/ontology#WikibaseItem,0.376,low,Manipulated entity/person,local_catalog_similarity,pending_review
MANIPULATED,Political,Manipulated entity/person,3,P14095,translates into,"language(s) that this person, company or organization translates works and texts into",http://wikiba.se/ontology#WikibaseItem,0.370,low,Manipulated entity/person,local_catalog_similarity,pending_review
MANIPULATED_BY,Political,Was manipulated by,1,P3719,regulated by,"organization that acts as regulator of an activity, financial market, or stock exchange",http://wikiba.se/ontology#WikibaseItem,0.521,low,manipulated by,local_catalog_similarity,pending_review
MANIPULATED_BY,Political,Was manipulated by,2,P4353,nominated by,who nominated a person for an office or award; can be used as a qualifier,http://wikiba.se/ontology#WikibaseItem,0.521,low,manipulated by,local_catalog_similarity,pending_review
MANIPULATED_BY,Political,Was manipulated by,3,P1028,donated by,person or organization who donated the object,http://wikiba.se/ontology#WikibaseItem,0.521,low,manipulated by,local_catalog_similarity,pending_review
MARRIAGE_ALLIANCE_WITH,Political,Marriage alliance partner,1,P114,airline alliance,alliance the airline belongs to,http://wikiba.se/ontology#WikibaseItem,0.545,low,marriage alliance with,local_catalog_similarity,pending_review
MARRIAGE_ALLIANCE_WITH,Political,Marriage alliance partner,2,P1382,partially coincident with,"object that partially overlaps with the subject in its instances, parts, or members",http://wikiba.se/ontology#WikibaseItem,0.477,low,marriage alliance with,local_catalog_similarity,pending_review
MARRIAGE_ALLIANCE_WITH,Political,Marriage alliance partner,3,P8956,compatible with,"this work, product, object or standard can interact with another work, product, object or standard",http://wikiba.se/ontology#WikibaseItem,0.417,low,marriage alliance with,local_catalog_similarity,pending_review
OPPOSED,Political,Person/group opposed another,1,P86,composer,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]",http://wikiba.se/ontology#WikibaseItem,0.409,low,Person/group opposed another,local_catalog_similarity,pending_review
OPPOSED,Political,Person/group opposed another,2,P1049,worshipped by,religion or group/civilization that worships a given deity,http://wikiba.se/ontology#WikibaseItem,0.346,low,Person/group opposed another,local_catalog_similarity,pending_review
OPPOSED,Political,Person/group opposed another,3,P748,appointed by,"who appointed the person to the position, can be used as a qualifier",http://wikiba.se/ontology#WikibaseItem,0.345,low,Person/group opposed another,local_catalog_similarity,pending_review
OUTLAWED,Political,Declared person an outlaw/enemy,1,P3719,regulated by,"organization that acts as regulator of an activity, financial market, or stock exchange",http://wikiba.se/ontology#WikibaseItem,0.339,low,Declared person an outlaw/enemy,local_catalog_similarity,pending_review
OUTLAWED,Political,Declared person an outlaw/enemy,2,P5125,Wikimedia outline,item about an outline of the topic at Wikimedia sites,http://wikiba.se/ontology#WikibaseItem,0.325,low,Declared person an outlaw/enemy,local_catalog_similarity,pending_review
OUTLAWED,Political,Declared person an outlaw/enemy,3,P13047,leased to,person or organisation that holds or was granted a lease on the subject,http://wikiba.se/ontology#WikibaseItem,0.322,low,Declared person an outlaw/enemy,local_catalog_similarity,pending_review
OUTLAWED_BY,Political,Was outlawed by authority,1,P127,owned by,owner of the subject,http://wikiba.se/ontology#WikibaseItem,0.574,low,outlawed by,local_catalog_similarity,pending_review
OUTLAWED_BY,Political,Was outlawed by authority,2,P1136,solved by,person that solved a scientific question,http://wikiba.se/ontology#WikibaseItem,0.545,low,outlawed by,local_catalog_similarity,pending_review
OUTLAWED_BY,Political,Was outlawed by authority,3,P156,followed by,"immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]",http://wikiba.se/ontology#WikibaseItem,0.534,low,outlawed by,local_catalog_similarity,pending_review
POLITICAL_CHANGE,Political,Generic political change,1,P1387,political alignment,political position within the left–right political spectrum,http://wikiba.se/ontology#WikibaseItem,0.570,low,political change,local_catalog_similarity,pending_review
POLITICAL_CHANGE,Political,Generic political change,2,P5832,political coalition,agreement for cooperation between different political parties,http://wikiba.se/ontology#WikibaseItem,0.570,low,political change,local_catalog_similarity,pending_review
POLITICAL_CHANGE,Political,Generic political change,3,P1142,political ideology,political ideology of an organization or person or of a work (such as a newspaper),http://wikiba.se/ontology#WikibaseItem,0.497,low,political change,local_catalog_similarity,pending_review
POLITICAL_CONTROL,Political,Generic political control,1,P5832,political coalition,agreement for cooperation between different political parties,http://wikiba.se/ontology#WikibaseItem,0.557,low,political control,local_catalog_similarity,pending_review
POLITICAL_CONTROL,Political,Generic political control,2,P1142,political ideology,political ideology of an organization or person or of a work (such as a newspaper),http://wikiba.se/ontology#WikibaseItem,0.522,low,political control,local_catalog_similarity,pending_review
POLITICAL_CONTROL,Political,Generic political control,3,P1387,political alignment,political position within the left–right political spectrum,http://wikiba.se/ontology#WikibaseItem,0.521,low,political control,local_catalog_similarity,pending_review
POLITICAL_STATUS,Political,Generic political status,1,P4002,WFD Ecological status,ecological status of a water body in accordance with the Water Framework Directive of the European Union,http://wikiba.se/ontology#WikibaseItem,0.528,low,political status,local_catalog_similarity,pending_review
POLITICAL_STATUS,Political,Generic political status,2,P1135,nomenclatural status,"status of a scientific name, according to the relevant rules of nomenclature (taxonomy)",http://wikiba.se/ontology#WikibaseItem,0.508,low,political status,local_catalog_similarity,pending_review
POLITICAL_STATUS,Political,Generic political status,3,P1387,political alignment,political position within the left–right political spectrum,http://wikiba.se/ontology#WikibaseItem,0.496,low,political status,local_catalog_similarity,pending_review
