token,qid,label,description,aliases,all_qids,all_labels,all_descriptions,confidence,rank,instanceOf_qid,instanceOf_label,subclassOf_qid,subclassOf_label,partOf_qid,partOf_label
The Persian Empire,Q59173814,"The Persian Empire. By J. M. Cook. 23 × 15 cm. Pp. ix + 275, 13 figs. + 43 pls. London: J. M. Dent, 1983. ISBN 0–460–04448–6. £12.95",,,Q59173814,"The Persian Empire. By J. M. Cook. 23 × 15 cm. Pp. ix + 275, 13 figs. + 43 pls. London: J. M. Dent, 1983. ISBN 0–460–04448–6. £12.95",,0.8,"{'type': 'label', 'language': 'en', 'text': 'The Persian Empire. By J. M. Cook. 23 × 15 cm. Pp. ix + 275, 13 figs. + 43 pls. London: J. M. Dent, 1983. ISBN 0–460–04448–6. £12.95'}",Q637866,book review,,,,
The Roman Empire,Q67320810,The Roman Empire,book by Paul Veyne published at 1997,the Roman Empire from 27 BCE to 395 AD history;the Roman Empire history,Q124092761;Q132205212;Q134340746;Q136660146;Q14618893;Q20601489;Q2671119;Q56760652;Q60188307;Q67320810,"Classical Roman Empire;The Roman Empire;The Roman Empire : Roots of Imperialism;The Roman Empire II: The Monarchy;The Roman Empire after His Death;The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature;The Roman Empire: A Very Short Introduction;history of the Roman Empire",";1997 paperback edition (en);Augustus through Theodosius (27 BC to 395 AD);book;book by Paul Veyne published at 1997;edited volume;fourteenth chapter in A Companion to Marcus Aurelius, 2012;occurrences and people in the Roman Empire;sixteenth chapter in The Oxford Handbook of the State in the Ancient Near East and Mediterranean 2013",1.0,"{'type': 'label', 'language': 'en', 'text': 'The Roman Empire'}",Q7725634,literary work,,,,
The name Cappadocia refers to a historical region of central Anatolia,,,,,,,,0.0,,,,,,,
Thessaly,Q166919,Thessaly,geographic region of Greece,Thessaly;Thessaly history,Q108540823;Q113634739;Q1247568;Q127034597;Q16327967;Q166919;Q22807284;Q27916978;Q525313;Q7783486,Ancient Thessaly;THESSALY;Thessaly;Thessaly Association of Basketball Clubs;Thessaly Football Clubs Association;Thessaly Region;Thessaly Zimmerman;history of Thessaly,;Aruban beauty pageant titleholder;administrative region of Greece;aspect of history;fantasy/science fiction trilogy by Jo Walton;female given name;geographic region of Greece;governing body of association football in the greek prefecture of Magnesia;hymn tune;traditional region of Ancient Greece,1.0,"{'type': 'label', 'language': 'en', 'text': 'Thessaly'}","Q1048163,Q1620908,Q82794","historical region,region,traditional geographic divisions of Greece",,,,
Thibet,Q17252,Tibet,plateau region in west China,Thibet,Q13475883;Q13845742;Q14488802;Q14536550;Q14536551;Q14536553;Q17252;Q17269;Q21225025;Q28054431,Thibetana;Thibetia;Thibetia honei;Thibetia niphaphylla;Thibetoides;Thibetoides acerbus;Thibetoides anatolicus;Thibetoides gilvus;Tibet;Tibet Autonomous Region,autonomous region of China;genus of insects;plateau region in west China;species of insect;species of moth,0.95,"{'type': 'alias', 'language': 'en', 'text': 'Thibet'}","Q15239622,Q3502482,Q82794,Q878223","cultural region,disputed territory,highland,region",,,,
Thrace,Q41741,Thrace,geographical and historical region in Southeast Europe,Thrace;Thrace Ardith Allen;Thrace University,Q1192701;Q123414414;Q136500712;Q1491574;Q23889914;Q3658386;Q41741;Q4906811;Q63350098;Q7797097,Anikka Albrite;Thrace;Thracella;Thraki;Trakia University,"American pornographic actress;Byzantine district (theme);University in Stara Zagora, Bulgaria;daughter of Oceanus in Greek mythology;fictional planet from the 2009 video game Borderlands 2;genus of crustaceans;geographic region of Greece;geographical and historical region in Southeast Europe;sheep breed;square in Bulgaria",1.0,"{'type': 'label', 'language': 'en', 'text': 'Thrace'}","Q1620908,Q28171280,Q6266","ancient civilization,historical region,nation",,,"Q23522,Q72499","Balkans,Mediterranean Basin"
Tibet,Q17252,Tibet,plateau region in west China,Tibetan Buddhist Resource Center;Tibetan goji,Q1506760;Q1641150;Q17252;Q17269;Q196332;Q2444884;Q30324366;Q34271;Q483889;Q54074585,Buddhist Digital Resource Center;Lycium barbarum;Tibet;Tibet Autonomous Region;Tibetan;Tibetan Buddhism;Tibetan Buddhist monastery;Tibetic languages,"American nonprofit organization;French comic artist (1931-2010);Tibet as a de facto independent state, and its history between 1912 and 1951;Tibeto-Burman language;autonomous region of China;building where monks live who practice the Buddhist philosophy of Tibet;form of Buddhism practiced in Tibet and Bhutan;group of Bodic languages spoken by Tibetans in the Eastern Tibetan Plateau and in northern areas of the Indian subcontinent;plateau region in west China;species of plant",1.0,"{'type': 'label', 'language': 'en', 'text': 'Tibet'}","Q15239622,Q3502482,Q82794,Q878223","cultural region,disputed territory,highland,region",,,,
Ticonderoga (N.Y,,,,,,,,0.0,,,,,,,
Timiș County,Q185586,Timiș County,county of Romania,Timiș County COVID-19 pandemic,Q104720246;Q185586;Q29042970;Q29042976,COVID-19 pandemic in Timiș County;Timiș County;Timiș County Council;Timiș County councilor,;county of Romania;member of Timiș County Council,1.0,"{'type': 'label', 'language': 'en', 'text': 'Timiș County'}",Q1776764,county of Romania,,,,
Tokyo,Q7473516,Tokyo,"special wards in the eastern part of Tokyo Metropolis in Japan, that used to form a single city",Tokyo 1964;Tokyo Telecommunications Engineering Corporation;Tokyo-to Ku-bu;Tōkyō Daigaku,Q1207735;Q1490;Q283196;Q28916890;Q308891;Q41187;Q7473516;Q7813796;Q7842;Q8420,1964 Summer Olympics;Sony Group;Tokyo;Tokyo City;Tokyo Photoelectric Meridian Circle Catalog;Tokyo Station;University of Tokyo;ward area of Tokyo,"Games of the XVIII Olympiad, in Tokyo, Japan;Japanese multinational conglomerate corporation;Masaharu Fukuyama song;astronomical catalogue;capital and largest city of Japan;historic municipality in Japan, 1889-1943. now area of 23 special wards;national university in Tokyo, Japan;railway and metro station in Chiyoda, Tokyo, Japan. Central station of Tokyo.;special municipality in the eastern part of Tokyo Metropolis in Japan. Occupying the site of historical Edo and the former city of Tokyo. For each ward, see Q5327704;special wards in the eastern part of Tokyo Metropolis in Japan, that used to form a single city",1.0,"{'type': 'label', 'language': 'en', 'text': 'Tokyo'}","Q129319205,Q515","city,de facto national capital",,,Q11507118,three major cities in Japan
Tokyo (Japan,Q1490,Tokyo,capital and largest city of Japan,Tokyo (Japan);Tokyo (Japan). Suidōkyoku,Q1490;Q7813954,Tokyo;Tokyo Metropolitan Government Bureau of Waterworks,capital and largest city of Japan;government bureau,0.8,"{'type': 'alias', 'language': 'en', 'text': 'Tokyo (Japan)'}","Q1025961,Q1066984,Q1200957,Q124313007,Q1549591,Q174844,Q200250,Q208511,Q50337,Q51929311","big city,capital of Japan,financial center,global city,largest city,megacity,metropolis,metropolitan prefecture,prefecture of Japan,tourist destination",,,"Q1775108,Q328121","Greater Tokyo Area,Minami Kantō"
Transcaucasia and Anatolia,,,,,,,,0.0,,,,,,,
Transdanubia (Hungary,,,,,,,,0.0,,,,,,,
Transilvania,Q136671721,Transilvania,,Transilvania;Transilvanian Galaxi;Transilvània,Q111125901;Q120500643;Q1331877;Q136671721;Q1475400;Q1586192;Q3930301;Q39473;Q52296786;Q60293003,Hostal Transilvania;Skatebård;Transilvania;Transilvania International Film Festival;Transilvania University of Brașov;Transilvanian Hunger;Transylvania,";Norwegian DJ;album by Darkthrone;annual film festival held in Cluj-Napoca, Romania;historical region in the northwestern part of Romania;hostel in Banos;international express train;passenger/cargo ship built in 1938;university in Brașov, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Transilvania'}",Q2175765,tram stop,,,,
Transilvania centrala si de vest,,,,,,,,0.0,,,,,,,
Transoxiana,Q183324,Transoxiana,Ancient name used for the portion of Central Asia,,Q15751879;Q183324,Transoxiana;Transoxiana: journal libre de estudios orientales,Ancient name used for the portion of Central Asia;journal,1.0,"{'type': 'label', 'language': 'en', 'text': 'Transoxiana'}","Q1620908,Q82794","historical region,region",,,Q27275,Central Asia
Transoxiana; Uzbek Republic,,,,,,,,0.0,,,,,,,
Transvaal (South Africa,,,,,,,,0.0,,,,,,,
Transylvania (Romania,,,,,,,,0.0,,,,,,,
Tremecen,Q185134,Tlemcen,city in Algeria,Tremecen,Q185134,Tlemcen,city in Algeria,0.95,"{'type': 'label', 'language': 'nah', 'text': 'Tremecen'}","Q1549591,Q515","big city,city",,,,
Triballi,Q1257541,Triballi,Ancient tribe in the Balkans,,Q1257541;Q12750492,Triballi;Triballian boar,;Ancient tribe in the Balkans,1.0,"{'type': 'label', 'language': 'en', 'text': 'Triballi'}",Q41710,ethnic group,,,,
Trieste (Italy : Province,,,,,,,,0.0,,,,,,,
Trinidad and Tobago,Q754,Trinidad and Tobago,island sovereign state in the Caribbean,Trinidad and Tobago;Trinidad and Tobago Red Steel;Trinidad and Tobago people,Q1193426;Q12960308;Q15895983;Q192149;Q20973;Q2738932;Q3590429;Q754;Q7842409;Q833328,ISO 3166-2:TT;Trinbago Knight Riders;Trinidad and Tobago;Trinidad and Tobago Football Association;Trinidad and Tobago at the Olympics;Trinidad and Tobago men's national football team;Trinidad and Tobago national cricket team;Trinidad and Tobago national under-17 football team;Trinidadians and Tobagonians,Cricket Franchise based in CPL;Cricket team of Trinidad and Tobago;citizens or residents of Trinidad and Tobago;entry for Trinidad and Tobago in ISO 3166-2;governing body of association football in Trinidad and Tobago;government of Trinidad and Tobago between 1962 and 1976;island sovereign state in the Caribbean;men's national association football team representing Trinidad and Tobago;national association football team;participation of athletes from Trinidad and Tobago in the Olympic Games,1.0,"{'type': 'label', 'language': 'en', 'text': 'Trinidad and Tobago'}","Q112099,Q11815167,Q179164,Q3624078,Q6256","archipelagic state,country,island country,sovereign state,unitary state",,,"Q66458647,Q664609,Q93259","Caribbean,European Union tax haven blacklist,Lesser Antilles"
Tripoli,Q193409,Tripoli,"city in Peloponnese, Greece",Tripoli;Tripoli dust,Q1529261;Q168954;Q186202;Q193409;Q20963647;Q2484819;Q3539555;Q3579;Q37284982;Q635916,Giovanni Battista Tiepolo;Tripoli;Tripoli District;Tripoli Municipality;Tripolitania vilayet;Tripolium pannonicum;silica dust,"Italian painter (1696–1770);Ottoman province;capital city of Libya;city in Peloponnese, Greece;city in northern Lebanon;district in Lebanon;family name;municipality in Greece;respirable form of silicon dioxide;species of plant",1.0,"{'type': 'label', 'language': 'en', 'text': 'Tripoli'}",Q515,city,,,,
Tripolitania,Q192435,Tripolitania,historic region and former province of Libya,Tripolitania Italiana;Tripolitanian War,Q1529261;Q16120426;Q192435;Q203824;Q2526060;Q3433694;Q3716754;Q68291;Q80645135;Q965346,Italian Tripolitania;Italo-Turkish War;Tripolitania;Tripolitania (Libya Archaeological Guides);Tripolitania sanjak;Tripolitania vilayet;Tripolitanian Republic;Tripolitanian lira,"1911–12 war between the Ottoman Empire and the Kingdom of Italy;1927-1934 Italian possession in North Africa;Guide to the built heritage of Tripolitania;Ottoman province;Roman province in North Africa;currency of the British zone of occupation in Libya between 1943 and 1951, and of the province of Tripolitania until early 1952;historic region and former province of Libya;on Libyan territory, an old state;sanjak of the Ottoman Empire;titular see in Libya",1.0,"{'type': 'label', 'language': 'en', 'text': 'Tripolitania'}","Q1620908,Q2113720,Q3502482,Q7252591,Q82794","cultural region,historical region,province of Libya,region,tripolis",,,,
Troade (Hissarlik,,,,,,,,0.0,,,,,,,
Troy,Q1158289,Troy,male given name,Troy,Q1158289;Q17350980;Q1817686;Q20727180;Q22647;Q5489;Q600301;Q707729;Q79862;Q990271,Jean-François de Troy;Troy;Troy University;Troyes,"French illustrator;French painter (1679-1752);ancient Homeric-era city in northwest Asia Minor;city in Oakland County, Michigan, United States;city in Pike County, Alabama, United States;city in and county seat of Rensselaer County, New York, United States;commune in Aube, France;family name;male given name;university in Alabama",1.0,"{'type': 'label', 'language': 'en', 'text': 'Troy'}",Q12308941,male given name,,,,
Tukharistan; Hindu Kush,,,,,,,,0.0,,,,,,,
Tulcea,Q11585,Tulcea,"city in Tulcea County, Romania",Tulcea Mayor,Q11585;Q16898605;Q18548731;Q191078;Q24089564;Q60809564;Q6588663;Q89485215;Q89588650;Q9362629,Constantin Hogea;Tulcea;Tulcea Airport;Tulcea County;Tulcea County Council;Tulcea County councillor;Tulcea Mărfuri railway station;Tulcea Oraș railway station,";Kingdom of Romania;Romanian politician from Tulcea;airport in Danube delta, Romania;city in Tulcea County, Romania;county in Romania;elected assembly of Tulcea County, Romania;locality in Tulcea County, Romania;railway station in Tulcea, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Tulcea'}","Q2264924,Q34843301,Q640364,Q902814","border city,capital of county in Romania,municipality of Romania,port city",,,,
Tulcea County,Q191078,Tulcea County,county in Romania,Tulcea County COVID-19 pandemic,Q104720247;Q18548731;Q191078;Q89485215;Q89588650,COVID-19 pandemic in Tulcea County;Tulcea County;Tulcea County Council;Tulcea County councillor,";Kingdom of Romania;county in Romania;elected assembly of Tulcea County, Romania",1.0,"{'type': 'label', 'language': 'en', 'text': 'Tulcea County'}",Q1776764,county of Romania,,,,
Tunis,Q3572,Tunis,capital of Tunisia,Tunis,Q2017684;Q24626846;Q27971;Q328109;Q3551686;Q3572;Q36878506;Q47457038;Q557516;Q948,6362 Tunis;French protectorate of Tunisia;Tunis;Tunis Governorate;Tunis University;Tunisia;Tunisia men's national football team,"1881-1956 monarchy in Northern Africa;asteroid;capital of Tunisia;country in North Africa;family name;given name;governorate in Tunisia;men's national association football team representing Tunisia;university in Tunisia;village in South Central Timor Regency, East Nusa Tenggara, Indonesia",1.0,"{'type': 'label', 'language': 'en', 'text': 'Tunis'}","Q1549591,Q41067667","big city,municipality of Tunisia",,,,
Tunis and Tripoli,,,,,,,,0.0,,,,,,,
Tunisia,Q948,Tunisia,country in North Africa,Tunisia;Tunisian parliamentary elections of 2014,Q1423587;Q17053107;Q2017684;Q2374721;Q27971;Q429372;Q56240;Q7853191;Q921559;Q948,2014 Tunisian parliamentary election;Boukha;French protectorate of Tunisia;Tunisia;Tunisia men's national football team;Tunisia men's national handball team;Tunisian Arabic;Tunisian Football Federation;Tunisian Sign Language;Tunisiano,1881-1956 monarchy in Northern Africa;Arabic dialect spoken in Tunisia;French rapper;country in North Africa;deaf people's sign language;distilled beverage;governing body of association football in Tunisia;men's national association football team representing Tunisia;men's national handball team representing Tunisia;parliamentary election in Tunisia,1.0,"{'type': 'label', 'language': 'en', 'text': 'Tunisia'}","Q3624078,Q51576574,Q6256,Q7270","Mediterranean country,country,republic,sovereign state",,,"Q27381,Q66458647","European Union tax haven blacklist,North Africa"
Turdaș-Vinča Culture,,,,,,,,0.0,,,,,,,
Turkey,Q43,Turkey,country in West Asia and Southeast Europe,Turkey Time;Turkey in Asia;turkey;turkey genus,Q1624749;Q2024092;Q20571352;Q43;Q43794;Q483856;Q51614;Q6760;Q848706;Q975535,Anatolia;Meleagris;Turkey;Turkey men's national football team;Turkey national under-21 football team;UTC+03:00;domesticated turkey,"North American genus of large birds;Wikimedia permanent duplicate item;city in Hall County, Texas, United States;country in West Asia and Southeast Europe;identifier for a time offset from UTC of +3;men's national association football team representing Turkey;national association football team;peninsula in Western Asia;species of bird;town in North Carolina, United States",1.0,"{'type': 'label', 'language': 'en', 'text': 'Turkey'}","Q127693126,Q1323642,Q339834,Q3624078,Q51576574,Q619610,Q6256,Q859563","Mediterranean country,country,regional power,secular state,social state,sovereign state,successor state,transcontinental country",,,"Q12299139,Q23522,Q27293,Q5401,Q7204,Q72499","Balkans,Black Sea Basin,Eurasia,Mediterranean Basin,Middle East,West Asia"
Turkey and Eastern Aegean,,,,,,,,0.0,,,,,,,
Turkmenistan,Q874,Turkmenistan,country in Central Asia,Türkmenistanyň demokratik partiýasy,Q1152752;Q135731718;Q135896319;Q27650318;Q3088807;Q4466121;Q486628;Q486637;Q796158;Q874,Democratic Party of Turkmenistan;Turkmenistan;Turkmenistan Airlines;Turkmenistan men's national football team;Turkmenistan new manat;Turkmenistan–Uzbekistan border,"TV channel;country in Central Asia;currency of Turkmenistan;flag carrier of Turkmenistan;human settlement in Daşoguz Region, Turkmenistan;human settlement in Daşoguz Region, Turkmenistan (2);men's national association football team representing Turkmenistan;political party in Turkmenistan that has ruled Turkmenistan since its foundation in 1991;publishing house in Turkmenistan;separates the territories of Uzbekistan and Turkmenistan",1.0,"{'type': 'label', 'language': 'en', 'text': 'Turkmenistan'}","Q123480,Q3624078,Q6256","country,landlocked country,sovereign state",,,Q27275,Central Asia
Turks and Caicos Islands,Q18221,Turks and Caicos Islands,British overseas territory in the Caribbean,"Turks and Caicos Islands House of Assembly;Turks and Caicos Islands flag;Turks and Caicos Islands general election, 2016;Turks and Caicos Islands geography",Q18221;Q204143;Q24384357;Q255772;Q28056396;Q3123423;Q3277480;Q499287;Q7855481;Q7855490,2016 Turks and Caicos Islands general election;Parliament of the Turks and Caicos Islands;Turks and Caicos Islands;Turks and Caicos Islands Football Association;Turks and Caicos Islands general election;Turks and Caicos Islands men's national football team;Turks and Caicos Islands national cricket team;Turks and Caicos Islands women's national football team;flag of the Turks and Caicos Islands;geography of the Turks and Caicos Islands,;British overseas territory in the Caribbean;flag of the British overseas territory of the Turks and Caicos Islands;governing body of football in the Turks and Caicos Islands;national association football team;national association football team representing the Turks and Caicos Islands;national team of the Turks and Caicos Islands,1.0,"{'type': 'label', 'language': 'en', 'text': 'Turks and Caicos Islands'}","Q46395,Q56061","British overseas territory,administrative territorial entity",,,Q664609,Caribbean
Tuscany,Q1273,Tuscany,region in central Italy,Tuscany,Q1273;Q14874905;Q16541820;Q20528211;Q2796923;Q37050677;Q617133;Q77603377;Q7856677;Q83648519,Apache Tuscany;Rosa 'Tuscany';Tuscany;Tuscany (Chamber of Deputies constituency);Tuscany station,"album by Renaissance;constituency of the Italian lower house;family name;neighbourhood in Calgary, Alberta, Canada;painting by Henry Simpson;painting by Ogden Pleissner;railway station in Alberta, Canada;region in central Italy;rose cultivar;software development for service-oriented architecture (SOA)",1.0,"{'type': 'label', 'language': 'en', 'text': 'Tuscany'}",Q16110,region of Italy,,,,
Ucraina de nord si centrala,,,,,,,,0.0,,,,,,,
Udhruh (Southern Jordan,,,,,,,,0.0,,,,,,,
Uganda,Q1036,Uganda,country in east Africa,Uganda,Q1036;Q10708507;Q1097943;Q137530;Q14158587;Q242845;Q2473869;Q25893750;Q65086967;Q7877575,1279 Uganda;Commonwealth realm of Uganda;Uganda;Uganda Communications Commission;Uganda National Airlines Company;Uganda Protectorate;Uganda men's national football team;Ugandatrichia,"African country from 1962 to 1963;Communications regulator of Uganda;Uganda’s flagship national carrier;asteroid;country in east Africa;former British protectorate;genus of insects;national association football team;village in Central Mamberamo Regency, Highland Papua, Indonesia",1.0,"{'type': 'label', 'language': 'en', 'text': 'Uganda'}","Q123480,Q3624078,Q6256,Q7270","country,landlocked country,republic,sovereign state",,,Q27407,East Africa
Ugarit,Q191369,Ugarit,ancient port city in northern Syria,,Q100272845;Q103971238;Q1327541;Q17488628;Q191369;Q332652;Q36928;Q7864603;Q80318968;Q970026,UGARIT;Ugarit;Ugaritic;Ugaritic alphabet;Ugaritic religion,;Cuneiform consonantal alphabet of 30 letters;Unicode block (U+10380-1039F);ancient port city in northern Syria;antique religion;archaeological site in Syria;encyclopedia article;extinct Northwest Semitic language;fictional moon from the Serenityverse,1.0,"{'type': 'label', 'language': 'en', 'text': 'Ugarit'}","Q1063239,Q11042,Q133442,Q15661340,Q3024240,Q3241965","ancient city,city-state,culture,historical country,polity,tributary state",,,,
Ukraine,Q212,Ukraine,country in Eastern Europe,Ukraine;Ukraine Stadium;Ukraine government;Ukraine invasion,Q110999040;Q1579270;Q170403;Q212;Q2296961;Q23653964;Q2392398;Q25446296;Q4220180;Q613729,Cabinet of Ministers of Ukraine;Kievskaia starina;Ukraina Stadium;Ukraine;Ukraine men's national football team;Ukraine national under-19 football team;Ukraine national under-21 football team;full-scale Russo-Ukrainian war,"The executive of Ukraine, consisting of the prime minister and cabinet ministers.;Wikimedia permanent duplicate item;country in Eastern Europe;ethographic and literary chronicle;full-scale invasion of Ukraine by Russia starting on 24 February 2022 , part of Russo-Ukrainian War;men's national association football team representing Ukraine;multi-purpose stadium in Lviv, Ukraine;song by Taras Petrynenko;sports team",1.0,"{'type': 'label', 'language': 'en', 'text': 'Ukraine'}","Q179164,Q3624078,Q4209223,Q4835091,Q619610,Q6256,Q7270","Rechtsstaat,country,republic,social state,sovereign state,territory,unitary state",,,"Q27468,Q302045,Q46","Eastern Europe,Europe,Post-Soviet states"
Ukrainian/south Russian steppes,,,,,,,,0.0,,,,,,,
Umbria,Q1280,Umbria,region of Italy,Umbria,Q104621276;Q1247527;Q1280;Q1645654;Q24008903;Q24045626;Q3548213;Q3677920;Q36957;Q54523,117093 Umbria;Regio VI Umbria;Umbria;Umbrian;Umbriatico;Umbrías,"Chamber of Deputies constituency;Italian comune;asteroid;capital of Umbrías Municipality, Spain;extinct Italic language of central Italy;female given name;municipality of Spain;olive oil from Italy;region of Augustan Italy;region of Italy",1.0,"{'type': 'label', 'language': 'en', 'text': 'Umbria'}",Q16110,region of Italy,,,Q1127320,Central Italy
United Arab Emirates,Q878,United Arab Emirates,Country in Western Asia,United Arab Emirates Standard Time;United Arab Emirates government account;United Arab Emirates men's national football team.;United Arab Emirates sports,Q111678803;Q1544739;Q200294;Q235910;Q3101549;Q3848121;Q6779;Q7579510;Q878;Q944522,Emirates men's national football team;UTC+04:00;United Arab Emirates;United Arab Emirates Football Association;United Arab Emirates Navy;United Arab Emirates University;United Arab Emirates dirham;United Arab Emirates national cricket team;sport in the United Arab Emirates;state-affiliated X account,Country in Western Asia;Cricket team that represents the United Arab Emirates;Twitter (X) account label given to accounts of state-affiliated media outlets or government officials or organizations (label under display name);currency;governing body of association football in the UAE;identifier for a time offset from UTC of +4;men's national association football team representing the Emirates;naval warfare branch of the United Arab Emirates' military;sports activities in the United Arab Emirates;university,1.0,"{'type': 'label', 'language': 'en', 'text': 'United Arab Emirates'}","Q3624078,Q6256","country,sovereign state",,,"Q109647832,Q27293,Q66458647,Q7204","European Union tax haven blacklist,Gulf States,Middle East,West Asia"
United Kingdom,Q145,United Kingdom,island country in north-west Europe,"United Kingdom Conservative Party;United Kingdom English;United Kingdom House of Commons;United Kingdom Parliament;United Kingdom Public General Act of Parliament;United Kingdom general election, 2019;United Kingdom of Great Britain;United Kingdom's withdrawal from the European Union",Q105774620;Q11005;Q11010;Q145;Q161885;Q174193;Q30173038;Q7888194;Q7979;Q9626,2019 United Kingdom general election;Brexit;British English;Conservative Party;House of Commons;Kingdom of Great Britain;Parliament of the United Kingdom;Public General Act of the Parliament of the United Kingdom;United Kingdom;United Kingdom of Great Britain and Ireland,"Act of Parliament that is part of the series of Public General Acts, passed via the public bill procedure or the hybrid procedure, generally applying to the public at large;centre-right to right-wing political party in the United Kingdom;constitutional monarchy in Western Europe (1707–1800);election to the 58th United Kingdom House of Commons;forms of the English language used in Britain;historical sovereign state (1801–1922);island country in north-west Europe;lower house in the Parliament of the United Kingdom;supreme legislative body of the United Kingdom;withdrawal of the United Kingdom from the European Union",1.0,"{'type': 'label', 'language': 'en', 'text': 'United Kingdom'}","Q112099,Q20181813,Q3624078,Q6256","colonial power,country,island country,sovereign state",,,Q3324796,Common Travel Area
United States,Q30,United States,country located primarily in North America,United States Bureau of Occupational Safety and Health;United States Democratic Party;United States Republican Party;United States Supreme Court;United States of Mexico;United States. National Gallery of Art,Q11201;Q11703;Q214867;Q29468;Q29552;Q30;Q4917;Q60346;Q637413;Q96,Democratic Party;Mexico;National Gallery of Art;National Institute for Occupational Safety and Health;Republican Party;Supreme Court of the United States;United States;United States Census Bureau;United States Virgin Islands;United States dollar,"American political party;U.S. agency responsible for the census and related statistics;United States government research agency for preventing work-related health and safety problems;country in North America;country located primarily in North America;highest court of jurisdiction in the United States of America;national art museum in Washington, D.C.;official currency of the United States;unincorporated territory of the United States of America",1.0,"{'type': 'label', 'language': 'en', 'text': 'United States'}","Q1489259,Q1520223,Q3624078,Q512187,Q5255892,Q6256","constitutional republic,country,democratic republic,federal republic,sovereign state,superpower",,,Q49,North America
United States of America,Q30,United States,country located primarily in North America,United States of America;United States of America Red Cross;United States of America-Canada border,Q104146934;Q105870683;Q105870692;Q106315054;Q119515;Q20571325;Q29045456;Q30;Q470110;Q99281400,American Red Cross;Canada–United States border;USA (United States of America);United States;United States of America;United States of America state-level electoral district,"National Red Cross Society in the United States;Wikimedia permanent duplicate item;country located primarily in North America;country of the United States of America as depicted in Star Trek;international border between Canada and the USA;song written and composed by Donna Fargo, originally recorded by Donna Fargo and released in 1974;state-level electoral district within the United States;vocal track by Donna Fargo; 1974 studio recording;vocal track by Kikki Danielsson; 1980 studio recording",0.95,"{'type': 'alias', 'language': 'en', 'text': 'United States of America'}","Q1489259,Q1520223,Q3624078,Q512187,Q5255892,Q6256","constitutional republic,country,democratic republic,federal republic,sovereign state,superpower",,,Q49,North America
Upper Egypt,Q203751,Upper Egypt,strip of land on the Nile valley between Nubia and Lower Egypt,Upper Egypt;Upper Egyptian Arabic,Q100342123;Q12219985;Q12219987;Q135431115;Q203751;Q27779860;Q56592;Q59050008;Q59050116;Q7898629,"Mission ""Sui Iuris"" of Upper Egypt;Saʽidi Arabic;Upper Egypt;Upper Egypt Critical Care Journal;Upper Egypt Electricity Distribution Company;Upper Egypt Electricity Production Company;Upper Egypt Gas Pipeline project;Upper Egyptian in the American University;Upper Egyptian to and fro",";(Mission ""Sui Iuris""), Egypt; Historical;Egyptian film 1998;Egyptian film 2001;album by Wayne Horvitz;strip of land on the Nile valley between Nubia and Lower Egypt;variety of Arabic spoken by the Ṣa‘īdi people south of Cairo, Egypt to the border of Sudan",1.0,"{'type': 'label', 'language': 'en', 'text': 'Upper Egypt'}",Q82794,region,,,"Q1364296,Q79","Egypt,Upper and Lower Egypt"
Upper Sava River Valley (Croatia,,,,,,,,0.0,,,,,,,
Upper Silesia,Q81011,Upper Silesia,part of the historical region of Silesia in Poland and Czechia,Upper Silesia coat of arms;Upper Silesian;Upper Silesian-Dąbrowa Basin Metropolis,Q11786987;Q2597384;Q30319;Q48845691;Q574321;Q678537;Q704495;Q81011;Q9283778;Q9289797,Metropolis GZM;Silesian;Upper Silesia;Upper Silesia Province;Upper Silesia plebiscite;Upper Silesian Coal Basin;Upper Silesian Medical Center in Katowice;Upper Silesian Museum in Bytom;Upper Silesian Offensive;coat of arms of Upper Silesia,";1921 referendum on the German-Polish border through Upper Silesia;1945 military offensive;West Slavic ethnolect;coal basin in Silesia, in Poland and the Czech Republic;health care facility in Katowice, Poland;metropolitan city (metropolis) in Upper Silesia, Poland;museum in Bytom, Poland;part of the historical region of Silesia in Poland and Czechia;province of Prussia from 1919 to 1945",1.0,"{'type': 'label', 'language': 'en', 'text': 'Upper Silesia'}",Q1620908,historical region,,,Q81720,Silesia
Ur,Q632044,Ur,"commune in Pyrénées-Orientales, France",UR;URS;urn:isbn:,Q1087262;Q12404;Q149990;Q15180;Q1617;Q33057;Q33609;Q632044;Q77;Q8918,Canton of Uri;International Standard Book Number;Soviet Union;University of Rochester;Ur;Urdu;Ursa Major;Ursula;Ursus maritimus;Uruguay,"Indo-Aryan language spoken in South Asia;canton of Switzerland;commune in Pyrénées-Orientales, France;constellation visible throughout the year in most of the northern hemisphere;female given name;former country in Eurasia (1922–1991);private, nonsectarian, research university in Rochester, New York, United States;sovereign state in South America;species of bear native largely within the Arctic Circle;unique numeric book identifier",1.0,"{'type': 'label', 'language': 'en', 'text': 'Ur'}",Q484170,commune of France,,,,
Urartu kingdom,,,,,,,,0.0,,,,,,,
