pid,propertyLabel,propertyDescription,datatype,occurrences,file_count,sample_files,in_catalog
P3610,fare zone,fare zone that the station is in,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3701,incarnation of,incarnation of another religious or supernatural being,wikibase-item,4,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3712,has goal,desired result or outcome,wikibase-item,2,2,Key Files\2-12-26 Chrystallum Architecture - CONSOLIDATED.md | Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P3719,regulated by,"organization that acts as regulator of an activity, financial market, or stock exchange",wikibase-item,4,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3771,activator of,protein for which this chemical acts as an activator,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3772,agonist of,protein for which this chemical acts as an agonist,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3773,antagonist of,protein for which this chemical compound acts as an antagonist,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3776,inhibitor of,"protein for which this chemical compound acts as an inhibitor; only specify the inhibited function if the protein has more than one function (qualifier ""of"")",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3828,wears,clothing or accessory worn on subject's body,wikibase-item,3,3,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_api_candidates_medium_rank1_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3831,object of statement has role,"(qualifier) role held by the predicate value (object) of a statement in the context of that statement; for the role of the item the statement appears on (subject), use P2868",wikibase-item,3,1,md\Architecture\Wikidata_SPARQL_Patterns.md,yes
P3865,type of reference,used to specify the type of a reference,wikibase-item,4,3,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3871,tributary orientation,specify if the stream confluence is a left bank or right bank tributary,wikibase-item,3,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3872,patronage,"number of passengers, patrons or visitors in specified time period",quantity,2,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P3893,public domain date,date the item enters into the public domain in a jurisdiction,time,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3903,column(s),"column in the page of a document, column number of source referenced for statement",string,2,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P3944,Old Bailey Proceedings ID,"identifier for a trial, on the Old Bailey Proceedings website",external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P3954,Senate of the Kingdom of Italy ID (obsolete),identifier of a member of the Senate of the Kingdom of Sardinia or of the Senate of the Kingdom of Italy on the Italian Senate website,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P3975,general secretary,"leader of a political or international organization, sometimes below the chairperson (P488)",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P3999,date of official closure,date of official closure of a building or event,time,2,1,Relationships\relationship_types_registry_master.csv,yes
P4002,WFD Ecological status,ecological status of a water body in accordance with the Water Framework Directive of the European Union,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4032,reviewed by,"person who reviewed/refereed the work, e.g., scientific peer-reviewer",wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4046,SIMC place ID,identifier for places in Poland in the SIMC system run by the Polish Central Statistical Office,external-id,4,3,2-13-26-federation-impact.md | Neo4j\IMPLEMENTATION_ROADMAP.md | Neo4j\schema\SCHEMA_BOOTSTRAP_GUIDE.md,yes
P4070,identifier shared with,"qualifier, to be used on external identifier IDs, indicating another Wikidata item is also matched to this ID",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4082,captured with,"equipment (e.g. model of camera, lens, microphone), used to capture this image, video, audio, or data",wikibase-item,5,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4101,thesis submitted to,institution to whom a thesis or dissertation is submitted,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4103,assets under management,total market value of financial assets which a financial institution manages on behalf of its clients and itself,quantity,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4176,effective firing range,distance within which a weapon can be used effectively,quantity,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4213,Unicode code point,hexadecimal code point in Unicode,string,2,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P4220,order of battle,arrangement of units and hierarchical organization of the armed forces involved in the specified military action,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4241,refine date,qualifier to narrow down the precision of a date not fully specified by the Wikidata time datatype precision field,wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P4321,best combative classification,"person ranked as ""best combative"" for this cycling stage or race",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4330,contains,"contents, item or substance located within this wrapping item, but not part of this receptacle or container; does not describe the ingredients or components of this container",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4353,nominated by,who nominated a person for an office or award; can be used as a qualifier,wikibase-item,5,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4361,ExecutedToday ID,"identifier for a person or group of individuals, in the ExecutedToday database",external-id,3,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4371,KBO pitcher ID,identifier for a baseball pitcher in koreabaseball.com,external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4390,mapping relation type,qualifier to more precisely define the relation of the item to the external identifier using SKOS,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4428,implementation of,"implementation of a standard, program, specification or programming language",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4510,describes a project that uses,essential component or tool that was used in this project,wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P4511,vertical depth,"vertical distance from a horizontal area to a point below. Compare with ""horizontal depth"" (P5524)",quantity,1,1,"Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P4512,Scottish Cemetery Kolkata person ID,"this website contains the database of Scottish Cemetery in Kolkata, West Bengal, India; the database resource was built by Presidency University in collaboration the University of St. Andrews",external-id,1,1,"Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P4513,Africultures movie ID,identifier for a movie at Africultures.com,external-id,1,1,"Subjects\CIP\2-11-26-property_id,property_label,first_seen_in.csv",yes
P4515,Prisma ID,"identifier for a film (movie) or person, in prisma.de",external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4572,SS KL Auschwitz Garrison ID,"identifier for a person, in the Auschwitz camp personnel database",external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4599,monomer of,polymer composed of this monomer subunits,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4600,polymer of,monomer of which this polymer compose,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4644,ESCO skill ID,"identifier for a Skill, in the European multilingual database ESCO v1",external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4646,representation of,performing arts production the item is a representation of,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4675,appears in the form of,this fictional or mythical entity takes the form of that entity,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4733,produced sound,"item for the sound generated by the subject, for instance the cry of an animal",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4745,is proceedings from,this work contains articles presented at the given event,wikibase-item,29,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4770,hydrated form of,given compound is an anhydrous form of this compound,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4777,has boundary,element that's on the two dimensional border that surrounds the subject; the limit of an entity,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4791,commanded by,"commander of a military unit/army/security service, operation, etc.",wikibase-item,6,3,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_api_candidates_medium_rank1_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4815,Technical Element Score,for figure skating scores breakdown,quantity,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P4891,Patrons de France ID,identifier of a business executive on Patrons de France,external-id,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P4895,time index,indicate when something happens relative to its beginning,quantity,4,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P4934,calculated from,value of the subject item cannot be measured directly or can be calculated from the following measurands or attributes,wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4967,prerequisite,"prior event or achievement that a person or team needs to complete before joining or obtaining the item topic, e.g. a qualifying round of a sports event, a lower-level course in an educational program, or a lower level of a professional qualification",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P4970,alternative name,"qualifier for alternative name(s), given for a subject in a database entry, or preserved in references (even these are no longer the preferred name)",string,2,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5004,in opposition to,object of a social action,wikibase-item,3,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5009,complies with,the product or work complies with a certain norm or passes a test,wikibase-item,5,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5020,Code of Household Registration and Conscription Information System (Taiwan),"This code is official for the administrative divisions in Taiwan, and manages by the Department of Household Registration, Ministry of Interior.",external-id,9,7,FAST\FASTTopical.marcxml | LCSH\skos_subjects\chunks\subjects_chunk_35.jsonld | LCSH\skos_subjects\concepts_only.jsonld | LCSH\skos_subjects\subjects.skosrdf.jsonld | LCSH\skos_subjects\subjects_full_valid.jsonld,yes
P5051,towards,"qualifier for ""adjacent station"" (P197) to indicate the terminal station(s) of a transportation line or service in that direction",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5072,presented in,"event at which a talk, film, paper, or poster was presented",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5094,HPIP ID,"identifier of an entity of Portuguese influence, including geographic/toponymic, onomastic, original author, chronological references, etc.",external-id,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P5096,member of the crew of,"person who has been a member of a crew associated with the vessel or spacecraft. For spacecraft, inverse of crew member (P1029), backup or reserve team or crew (P3015)",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5125,Wikimedia outline,item about an outline of the topic at Wikimedia sites,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5133,has evaluation,evaluation or interpretation corresponding to the subject attribute or examination,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5134,evaluation of,the subject finding is an evaluation or interpretation of the object attribute or test,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5135,greater than,"instances of the item have a greater value than corresponding instances of the object, for the given measure",wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P5136,less than,"instances of the item have a lesser value than corresponding instances of the object, for the given measure",wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P5168,applies to name of subject,"(qualifier) label or alias name to which the claim applies (subject of the statement). To refer to name of the value, use ""applies to name of object"" (P8338)",monolingualtext,4,2,Relationships\relationship_types_registry_master.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5186,conjugation class,"conjugation class this lexeme belongs to. On items for languages, use ""has conjugation class"" (P5206)",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5191,derived from lexeme,most direct lexeme(s) this one has developed from,wikibase-lexeme,2,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5202,adapted by,person responsible for the arrangement or adaptation resulting in this version of the original work,wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5206,has conjugation class,"conjugation pattern for group of verbs in the language. Use on items for languages. For lexemes, use ""conjugation class"" (P5186).",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5237,pronunciation variety,"qualifier for IPA transcription (P898), pronunciation audio (P443) or spoken text audio (P989) to indicate the associated spoken language variant",wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P5277,grade of kanji,degree of difficulty of kanji,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5323,attested in,"document or corpus where the lemma or form of a Lexeme entity, word or name is used, but not described",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5422,has pattern,"pattern, design, or motif intrinsic to, incorporated into, or applied to the surface of the subject",wikibase-item,2,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5438,signum,familiar nickname of the ancient Romans of Greek origin developed during the 3rd century,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5460,grants,"confers degree, honor, award, prize, title, certificate or medal denoting achievement to a person or organization",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5475,CJKV variant character,equivalent form of this CJKV ideographic character used in different regions or writing systems over time,wikibase-item,2,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P5514,accredited by,"optionally use together with ""subject has role"" (P2868)",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5572,expressed in,gene or protein is expressed during a specific condition/cell cycle/process/form,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5588,invasive to,"region which a taxon is not endemic to where the taxon has a tendency to spread to a degree believed to cause damage to the environment, human economy or human health",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5617,Evene ID,identifier for a person on the Evene website,external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5713,requires grammatical feature,grammatical features required or generally used with lexeme or form of lexeme,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5723,Polish Basketball League ID,identifier for a basketball player on the Polish Basketball League website,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P5745,Pacific Coast Architecture Database person ID,identifier for people involved in architecture on the West Coast of the United States,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P5824,retracted by,(article) is retracted by (retraction notice),wikibase-item,8,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5831,usage example,example of how a lexeme (sense) might be used,monolingualtext,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P5832,political coalition,agreement for cooperation between different political parties,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5852,item inherits statement from,(for a reference) statement is inherited from the superclass; superclass has exactly the same statement,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5872,smells of,what an item is said to smell like,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P5982,annual number of weddings,number of marriages per year in a location,quantity,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P6099,clinical trial phase,step designation for a clinical trial,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6112,category for members of a team,Wikimedia category for players playing for a sports team,wikibase-item,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P6113,Playbill venue ID,identifier for a performance venue at Playbill.com,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P6114,Portal to the Flora of Italy ID,identifier for a species on the Portal to the Flora of Italy website,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P6115,Central African Plants ID,identifier for a species on the Central African Plants website,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P6117,Envanter.gov.tr Monument ID,,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P6118,season ends,to indicate what month of the year a sports season ends,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6136,Freedom Forum newspaper front page ID,identifier for a newspaper in the Newseum's front page gallery,external-id,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P6166,quotes work,"other creative work which this work quotes from textually, verbally or lyrically",wikibase-item,2,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6167,British Executions ID,identifier for a person executed in Britain between 1100 and 1964,external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6185,tautomer of,target item is a tautomer of this one,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6193,ratified by,used to specify that a treaty has been ratified by a given state or subject of international law,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6271,demonym of,item that this sense is a demonym of,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6359,Crew United title ID,identifier for films and series on Crew united,external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6392,AISHE code,"identifier for a college, university, or standalone institution in India issued by the All India Survey on Higher Education",external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6427,trading name,alternative name under which an entity legally trades,monolingualtext,3,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6429,Hymnary hymnal ID,identifier for hymnal in the Hymnary.org database,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P6524,expression of,"realization of a work through words, sound, image etc. in the FRBR model",wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6531,observed in,"to be used as reference to location, condition, variant where upon the subject property object statement is based",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6532,has phenotype,"a relationship that holds between a biological entity and a phenotype, equivalent to ""has property"" in the relation ontology http://purl.obolibrary.org/obo/RO_0002200",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6563,key performance indicator,measure used to track progress towards a target,wikibase-item,2,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P6568,inscription mentions,item about a person or an object mentioned in the inscription's text. Use on Wikimedia Commons on media files,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6684,first attested from,to indicate the first ''known'' usage of a word,wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6802,related image,"less fitting image, used only because a better alternative is not available. If an appropriate image of the item is available, use P18 instead. Value should not be a generic placeholder",commonsMedia,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P6834,,,,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,no
P6835,title in LaTeX,"(qualifier) for title property (P1476), to write title in LaTeX/math notation, if the string can't render it normally. Enclose normal text with ""\text{"" and ""}""",math,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6879,effective temperature,the temperature of a black body that would emit the same total amount of electromagnetic radiation as measured star or planet,quantity,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6895,Bangladesh administrative division code (2017-),"code used for an area for census calculations in Bangladesh, based on a scheme introduced in 2017",external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P6938,seconded by,a person who seconds a motion as parliamentary procedure,wikibase-item,4,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P6977,review of,this property connects a review to the work it reviews,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7009,extracted from,source this image was cropped from. Use on Wikimedia Commons only.,commonsMedia,3,3,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_api_candidates_medium_rank1_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7010,imprimatur granted by,person or organization authorizing publication of the book,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7015,surface gravity,gravitational acceleration experienced at the equator of an astronomical body surface,quantity,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7047,enemy,opponent character or group of this fictive character or group,wikibase-item,4,3,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_api_candidates_medium_rank1_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7075,mod of,video game this mod is based on,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7084,related category,Wikimedia category is related to this item,wikibase-item,3,2,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7086,start grade,lowest educational year (aka grade) taught by this institution,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7122,opinion joined by,who joins a judicial opinion,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7137,acknowledged,persons or institutions acknowledged on a creative work,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7153,significant place,significant or notable places associated with the subject,wikibase-item,4,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7272,Hiking Project site ID,identifier for a remarkable site (a 'gem') on the Hiking Project website,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P7333,Pathway Ontology ID,identifier in the Pathway Ontology database,external-id,2,2,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv,yes
P7376,worn by,person who wears or wore a garment or object,wikibase-item,3,3,Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_api_candidates_medium_rank1_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7416,folio(s),folio number of reference for statement,string,2,2,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv,yes
P7481,"variety of lexeme, form or sense","dialect, graphic or phonetic variety that this lexeme, form or sense is used in",wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P7508,election called by,person who summoned an election,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7511,doujinshi.org author ID,artist ID on doujinshi.org,external-id,3,1,Neo4j\TEMPORAL_FACET_STRATEGY.md,yes
P7588,effective date,"date on which a statutory or administrative law or other official document comes into force. This date may differ for different sections of the law. This may also be retrospective, predating the date of enactment.",time,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7600,primary note,most prominent note in a raga,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7604,supervised by,natural person who has the authority of giving instructions and/or orders to subordinates and is held responsible for the work and actions of subordinates,wikibase-item,1,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P7643,covered period,"historical period covered, for instance by a source",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7779,military unit,smallest military unit that a person is/was in,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7781,exonerated of,crime of which the subject was found not to be guilty after having previously been found guilty by a court for that crime,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7855,attested as,"how the word is attested in a text, if different from the current way to write it. Should be used with ""attested in"" (P5323)",string,3,3,FAST\FASTTopical.marcxml | Python\fast\key\FASTTopical_parsed.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7859,,,,4,3,2-13-26-federation-impact.md | Neo4j\IMPLEMENTATION_ROADMAP.md | Neo4j\schema\SCHEMA_BOOTSTRAP_GUIDE.md,no
P7888,merged into,"the subject was dissolved and merged into the object, that existed previously",wikibase-item,3,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7903,gained territory from,(qualifier) territorial entity from which the subject item gained territory as a result of the event in the statement,wikibase-item,4,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P7904,gave up territory to,(qualifier) territorial entity to which the subject item gave up some of its territory as a result of the event in the statement,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P8001,endorsed by,public support given by a person or organization to a political or other campaign,wikibase-item,2,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P8004,ordered by,subject that ordered the act,wikibase-item,6,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P8031,perpetrator,"person or organization who carried out this harmful, illegal, or immoral act",wikibase-item,2,1,Relationships\wikidata_p_api_candidates_2026-02-13.csv,yes
P8138,located in the statistical territorial entity,statistical territorial entity in which a place is located or is part of. If a municipality or county is split into or part of several regions: add several values,wikibase-item,4,4,CSV\wikiPvalues_sample_200.csv | CSV\wikiPvalues_sample_200_enriched.csv | Relationships\wikidata_p_api_candidates_2026-02-13.csv | Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P8225,is metaclass for,all instances of the subject are subclasses of the object,wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P8258,field of training,"profession, position or activity someone learnt during a training, traineeship or apprenticeship",wikibase-item,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P8264,attribution text,"the attribution string as specified by the licensor, that re-users are obliged to name",string,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P8276,region within image,qualifier to identify a polygon within an image that the main statement applies to,string,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
P8287,Worlds Without End author ID,identifier for authors at the website Worlds Without End,external-id,1,1,Relationships\wikidata_p_catalog_candidates_2026-02-13.csv,yes
